"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice souter","dissenting",FALSE,"Custis v. United States",1994-05-23,"511 U.S. 485","https://www.courtlistener.com/opinion/1087955/custis-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/1087955/",1994,"1993-051",1,6,3
"justice white","majority",FALSE,"Zenith Radio Corp. v. Hazeltine Research, Inc.",1971-04-05,"401 U.S. 321","https://www.courtlistener.com/opinion/108279/zenith-radio-corp-v-hazeltine-research-inc/","https://www.courtlistener.com/api/rest/v3/clusters/108279/",1971,"1970-051",2,9,0
"justice breyer","majority",FALSE,"NLRB v. Noel Canning",2014-06-26,"134 S. Ct. 2550","https://www.courtlistener.com/opinion/2680590/nlrb-v-noel-canning/","https://www.courtlistener.com/api/rest/v3/clusters/2680590/",2014,"2013-069",1,9,0
"justice burger","majority",FALSE,"Burks v. United States",1978-06-14,"437 U.S. 1","https://www.courtlistener.com/opinion/109891/burks-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/109891/",1978,"1977-109",2,8,0
"justice o'connor","majority",FALSE,"Secretary of Interior v. California",1984-01-11,"464 U.S. 312","https://www.courtlistener.com/opinion/111058/secretary-of-interior-v-california/","https://www.courtlistener.com/api/rest/v3/clusters/111058/",1984,"1983-018",1,5,4
"justice stevens","dissenting",FALSE,"Secretary of Interior v. California",1984-01-11,"464 U.S. 312","https://www.courtlistener.com/opinion/111058/secretary-of-interior-v-california/","https://www.courtlistener.com/api/rest/v3/clusters/111058/",1984,"1983-018",1,5,4
"justice marshall","majority",FALSE,"Federal Maritime Comm'n v. Seatrain Lines, Inc.",1973-05-14,"411 U.S. 726","https://www.courtlistener.com/opinion/108783/federal-maritime-commn-v-seatrain-lines-inc/","https://www.courtlistener.com/api/rest/v3/clusters/108783/",1973,"1972-115",2,9,0
"justice stevens","majority",FALSE,"US Dept. of Justice v. Reporters Committee",1989-03-22,"489 U.S. 749","https://www.courtlistener.com/opinion/112224/us-dept-of-justice-v-reporters-committee/","https://www.courtlistener.com/api/rest/v3/clusters/112224/",1989,"1988-059",1,9,0
"justice blackmun","concurring",FALSE,"US Dept. of Justice v. Reporters Committee",1989-03-22,"489 U.S. 749","https://www.courtlistener.com/opinion/112224/us-dept-of-justice-v-reporters-committee/","https://www.courtlistener.com/api/rest/v3/clusters/112224/",1989,"1988-059",1,9,0
"justice white","majority",FALSE,"EPA v. California Ex Rel. State Water Resources Control Bd.",1976-06-07,"426 U.S. 200","https://www.courtlistener.com/opinion/109468/epa-v-california-ex-rel-state-water-resources-control-bd/","https://www.courtlistener.com/api/rest/v3/clusters/109468/",1976,"1975-112",2,7,2
"justice ginsburg","majority",FALSE,"Murphy Brothers, Inc. v. Michetti Pipe Stringing, Inc.",1999-04-05,"526 U.S. 344","https://www.courtlistener.com/opinion/118279/murphy-brothers-inc-v-michetti-pipe-stringing-inc/","https://www.courtlistener.com/api/rest/v3/clusters/118279/",1999,"1998-045",2,6,3
"justice rehnquist","dissenting",FALSE,"Murphy Brothers, Inc. v. Michetti Pipe Stringing, Inc.",1999-04-05,"526 U.S. 344","https://www.courtlistener.com/opinion/118279/murphy-brothers-inc-v-michetti-pipe-stringing-inc/","https://www.courtlistener.com/api/rest/v3/clusters/118279/",1999,"1998-045",2,6,3
"justice stevens","majority",FALSE,"City of Mesquite v. Aladdin's Castle, Inc.",1982-02-23,"455 U.S. 283","https://www.courtlistener.com/opinion/110649/city-of-mesquite-v-aladdins-castle-inc/","https://www.courtlistener.com/api/rest/v3/clusters/110649/",1982,"1981-042",1,9,0
"justice scalia","majority",FALSE,"American Express Co. v. Italian Colors Restaurant",2013-06-20,"133 S. Ct. 2304","https://www.courtlistener.com/opinion/903973/american-express-co-v-italian-colors-restaurant/","https://www.courtlistener.com/api/rest/v3/clusters/903973/",2013,"2012-066",1,5,3
"justice thomas","concurring",FALSE,"American Express Co. v. Italian Colors Restaurant",2013-06-20,"133 S. Ct. 2304","https://www.courtlistener.com/opinion/903973/american-express-co-v-italian-colors-restaurant/","https://www.courtlistener.com/api/rest/v3/clusters/903973/",2013,"2012-066",1,5,3
"justice kagan","dissenting",FALSE,"American Express Co. v. Italian Colors Restaurant",2013-06-20,"133 S. Ct. 2304","https://www.courtlistener.com/opinion/903973/american-express-co-v-italian-colors-restaurant/","https://www.courtlistener.com/api/rest/v3/clusters/903973/",2013,"2012-066",1,5,3
"justice scalia","majority",FALSE,"Countyof Yakima v. Confederated Tribes and Bands of Yakima Nation",1992-01-14,"502 U.S. 251","https://www.courtlistener.com/opinion/112674/countyof-yakima-v-confederated-tribes-and-bands-of-yakima-nation/","https://www.courtlistener.com/api/rest/v3/clusters/112674/",1992,"1991-021",2,9,0
"justice burger","majority",FALSE,"United States v. Chesapeake & Ohio R. Co.",1976-06-17,"426 U.S. 500","https://www.courtlistener.com/opinion/109487/united-states-v-chesapeake-ohio-r-co/","https://www.courtlistener.com/api/rest/v3/clusters/109487/",1976,"1975-131",1,6,2
